date,revenue,orders,sessions,atc,spend,purchases,meta_revenue,impressions,reach,link_clicks,video_3s,video_25,roas,mer,cpp,ctr,cvr,atc_rate,frequency,cpm,cpc,hook_rate,hold_rate
2026-06-12,72.96,2.0,278.0,8.0,148.12,2.0,0.0,3293.0,2881.0,109.0,117.0,42.0,0.0,0.49,74.06,3.31,0.72,2.88,1.1,44.98,1.36,3.6,35.9
2026-06-13,39.99,1.0,131.0,7.0,112.79,0.0,0.0,2528.0,2143.0,100.0,61.0,9.0,0.0,0.35,0.0,3.96,0.76,5.34,1.2,44.62,1.13,2.4,14.8
2026-06-14,119.97,3.0,338.0,19.0,145.36,3.0,0.0,3562.0,3150.0,163.0,1022.0,401.0,0.0,0.83,48.45,4.58,0.89,5.62,1.1,40.81,0.89,28.7,39.2
2026-06-15,170.92,5.0,213.0,8.0,113.89,2.0,0.0,3952.0,3148.0,126.0,2738.0,1036.0,0.0,1.5,56.95,3.19,2.35,3.76,1.3,28.82,0.9,69.3,37.8
2026-06-16,139.21,4.0,173.0,7.0,120.33,1.0,0.0,3889.0,3358.0,115.0,2934.0,1045.0,0.0,1.16,120.33,2.96,2.31,4.05,1.2,30.94,1.05,75.4,35.6
2026-06-17,119.97,3.0,137.0,7.0,119.05,3.0,0.0,3746.0,3097.0,91.0,2570.0,591.0,0.0,1.01,39.68,2.43,2.19,5.11,1.2,31.78,1.31,68.6,23.0
2026-06-18,199.95,5.0,133.0,16.0,114.95,4.0,0.0,3686.0,2933.0,76.0,2258.0,810.0,0.0,1.74,28.74,2.06,3.76,12.03,1.3,31.19,1.51,61.3,35.9
2026-06-19,202.94,5.0,135.0,7.0,119.05,2.0,0.0,4194.0,3410.0,81.0,3148.0,698.0,0.0,1.7,59.52,1.93,3.7,5.19,1.2,28.39,1.47,75.1,22.2
2026-06-20,217.93,6.0,138.0,8.0,113.97,4.0,0.0,3847.0,3387.0,82.0,2658.0,507.0,0.0,1.91,28.49,2.13,4.35,5.8,1.1,29.63,1.39,69.1,19.1
2026-06-21,100.96,3.0,148.0,7.0,130.29,1.0,0.0,4593.0,4018.0,109.0,2939.0,523.0,0.0,0.77,130.29,2.37,2.03,4.73,1.1,28.37,1.2,64.0,17.8
2026-06-22,140.75,3.0,152.0,15.0,128.59,2.0,82.78,4542.0,3795.0,111.0,3181.0,501.0,0.64,0.64,64.3,2.44,1.97,9.87,1.2,28.31,1.16,70.0,15.7
2026-06-23,391.85,12.0,137.0,18.0,130.25,6.0,239.94,4656.0,3875.0,99.0,2725.0,696.0,1.84,1.84,21.71,2.13,8.76,13.14,1.2,27.97,1.32,58.5,25.5
2026-06-24,79.98,2,147,3,110.51,0,0.0,3811,3200,76,2740,646,0.0,0.0,0,1.99,1.36,2.04,1.2,29.0,1.45,71.9,23.6
