date,total_users,new_users,sessions,pageviews,pages_per_session,bounce_rate,avg_duration,add_to_carts,purchases,revenue,cvr
2026-06-18,121,107,133,332,2.5,19.5,116.4,16,5,199.95,3.76
2026-06-18,121,107,133,332,2.5,19.5,118.6,16,5,199.95,3.76
2026-06-19,121,103,135,325,2.4,57.0,260.6,7,3,119.97,2.22
2026-06-20,124,116,138,318,2.3,16.7,82.6,8,5,174.95,3.62
2026-06-21,139,131,148,314,2.1,14.9,103.7,7,2,54.98,1.35
2026-06-22,88,80,93,212,2.3,10.8,108.1,8,2,54.98,2.15
2026-06-22,93,85,98,226,2.3,10.2,104.4,8,2,54.98,2.04
2026-06-22,93,85,98,226,2.3,10.2,104.4,8,2,54.98,2.04
2026-06-22,93,85,98,226,2.3,10.2,104.4,8,2,54.98,2.04
2026-06-22,93,85,98,226,2.3,10.2,104.4,8,2,54.98,2.04
2026-06-22,146,134,152,361,2.4,9.2,106.4,15,3,94.97,1.97
2026-06-22,146,134,152,361,2.4,9.2,106.4,15,3,94.97,1.97
2026-06-22,146,134,152,361,2.4,9.2,106.4,15,3,94.97,1.97
2026-06-22,146,134,152,361,2.4,9.2,106.4,15,3,94.97,1.97
2026-06-23,125,113,137,344,2.5,23.4,105.0,18,10,299.91,7.3
2026-06-24,144,135,147,330,2.2,15.0,95.3,3,0,0.0,0.0
2026-06-25,51,49,53,134,2.5,13.2,99.8,11,4,124.95,7.55
2026-06-26,77,69,80,197,2.5,8.8,79.8,5,3,119.97,3.75
2026-06-26,114,102,123,297,2.4,8.9,75.7,10,5,199.95,4.07
2026-06-26,114,102,123,297,2.4,8.9,75.7,10,5,199.95,4.07
2026-06-26,114,102,123,297,2.4,8.9,75.7,10,5,199.95,4.07
2026-06-26,114,102,123,297,2.4,8.9,75.7,10,5,199.95,4.07
2026-06-26,114,102,123,297,2.4,8.9,75.7,10,5,199.95,4.07
2026-06-27,88,81,94,219,2.3,13.8,142.5,13,5,199.95,5.32
2026-06-28,137,125,148,340,2.3,16.9,356.2,10,2,54.98,1.35
2026-06-29,104,93,113,251,2.2,10.6,56.9,11,5,199.95,4.42
2026-06-30,131,120,146,362,2.5,11.6,105.8,11,3,149.95,2.05
2026-07-01,139,122,145,337,2.3,11.7,38.8,13,4,199.95,2.76
2026-07-02,143,133,148,312,2.1,8.8,69.4,7,4,159.96,2.7
2026-07-03,149,140,160,338,2.1,15.6,59.5,11,4,159.96,2.5
2026-07-04,138,132,143,324,2.3,10.5,46.7,9,2,84.96,1.4
2026-07-05,126,116,133,270,2.0,9.8,26.4,3,1,39.99,0.75
2026-07-06,114,103,120,278,2.3,15.8,124.2,10,4,134.96,3.33
2026-07-07,126,112,136,277,2.0,22.1,206.7,5,2,54.98,1.47
2026-07-08,90,85,96,245,2.6,20.8,142.3,12,5,229.94,5.21
2026-07-09,62,53,65,135,2.1,38.5,97.8,8,4,159.96,6.15
2026-07-10,74,70,78,194,2.5,47.4,143.3,12,3,74.96,3.85
2026-07-11,94,88,101,202,2.0,46.5,69.1,14,4,139.95,3.96
2026-07-12,100,84,109,295,2.7,13.8,131.0,12,6,239.93,5.5
2026-07-13,61,51,64,159,2.5,18.8,111.9,4,1,39.99,1.56
2026-07-14,55,46,56,132,2.4,19.6,114.4,5,5,199.95,8.93
2026-07-15,75,66,81,193,2.4,21.0,64.2,12,3,94.97,3.7
2026-07-16,77,60,80,161,2.0,31.2,162.3,3,3,119.97,3.75
2026-07-17,97,88,105,245,2.3,21.0,122.4,7,4,149.96,3.81
2026-07-18,86,76,89,201,2.3,13.5,61.5,7,1,39.99,1.12
2026-07-19,98,82,103,266,2.6,20.4,115.0,14,7,254.93,6.8
2026-07-20,83,71,94,216,2.3,17.0,201.6,7,3,119.97,3.19
